name,roll,branch,startYear,currentCourses,completedCourses
student1,20275,cse,2021,ga;dbms,45678:5.367498;34567:9.747145;56789:8.141905
student2,22019,csai,2020,math,56789:9.016363;12345:8.560556;34567:6.194535
student3,20132,ece,2024,math;dbms,23456:8.796665;12345:5.256499
student4,21770,csam,2023,oopd,34567:9.471696;12345:8.583586;45678:9.837340
student5,21417,cse,2024,dbms,45678:7.782361;23456:8.440870
student6,21922,csam,2022,ml;dbms;os,56789:6.428280;12345:8.165152;34567:8.408197
student7,22706,csss,2020,os;ga,34567:8.438001
student8,20027,csss,2020,dbms,56789:8.668349;23456:6.405131;45678:5.176708
student9,20887,ece,2022,ga,34567:9.878108
student10,20400,csai,2022,math,45678:7.245249;23456:9.261189;34567:6.138779
student11,20017,csam,2022,math;dbms,34567:6.968986;45678:7.188994
student12,21366,csd,2020,oopd;ga;math,12345:8.021835;23456:8.448451;56789:5.284924
student13,22952,csss,2021,ml;oopd;math,23456:5.262778;34567:7.533680;12345:8.562936
student14,20514,csd,2024,oopd;dbms;os,45678:7.403640;34567:8.441341;23456:6.450310
student15,20681,csss,2023,oopd,23456:7.481521;45678:9.103835;34567:5.369106
student16,20290,csai,2021,ga;ml;dbms,45678:8.479390;56789:5.299555
student17,22133,csd,2024,ml;dbms;oopd,45678:9.327612;56789:6.425820;23456:6.830416
student18,21957,csss,2020,ml,56789:8.227825
student19,21719,csss,2020,dbms,45678:8.956422;23456:9.034227;56789:6.155882
student20,21864,cse,2022,oopd;ga,34567:7.815011
student21,22753,csss,2021,ga,23456:5.789269;56789:5.847215
student22,21407,csai,2022,ga;oopd,45678:6.688296
student23,22860,csam,2024,os;dbms,45678:9.521296;23456:5.962972
student24,22469,csd,2020,oopd;ml,45678:7.332617
student25,22549,cse,2022,ml,56789:5.055946
student26,22807,csd,2022,math,56789:5.441391
student27,21830,csai,2022,math;dbms;os,23456:6.965656
student28,21545,csd,2023,math;oopd;ml,34567:8.886372;23456:5.508673
student29,22810,ece,2021,oopd;os;ga,56789:7.560604;45678:9.999864
student30,21189,csss,2023,ml;os;dbms,56789:9.471827
student31,20534,cse,2020,dbms;oopd,45678:8.137929
student32,21811,csss,2022,dbms;oopd,34567:6.841159;45678:8.109109;56789:9.978232
student33,22969,csai,2020,ga,45678:9.499078;12345:8.466894;34567:8.648520
student34,20722,csd,2024,math;ga;ml,45678:8.632877
student35,20445,csd,2022,ml;dbms;oopd,23456:8.263997;45678:6.907760;56789:8.457691
student36,20302,cse,2021,math;ml;oopd,56789:7.148181
student37,22999,csd,2024,os,34567:8.405403;23456:9.781772
student38,20924,ece,2022,ga;math;dbms,34567:6.246875;12345:9.111799;56789:9.067412
student39,21427,csam,2020,ml;oopd,56789:5.300404;45678:9.108266
student40,21742,cse,2024,ga,34567:9.616698
student41,21123,csss,2021,dbms,12345:9.219405;45678:7.346777
student42,21900,csss,2020,ml,34567:5.202892;12345:7.525026
student43,22383,csd,2020,math;os;ga,56789:7.799740
student44,21393,csss,2022,os;oopd,23456:8.250978;45678:6.205741;12345:5.503366
student45,21147,csam,2023,ml,56789:8.029071;12345:7.668939;34567:6.563480
student46,20076,csss,2022,dbms,45678:9.257160;12345:8.831069
student47,21867,csai,2024,ga;oopd;dbms,12345:5.935026;45678:5.832047;56789:5.684291
student48,22158,csam,2022,oopd;dbms;os,56789:6.356890;34567:9.504125
student49,20283,ece,2022,ml,12345:6.385899;23456:9.121403
student50,21218,cse,2022,oopd,12345:9.542711
student51,21745,csai,2022,ga;ml,56789:5.239863;23456:5.926080
student52,21326,csd,2021,dbms;math,23456:6.562200
student53,21613,csss,2023,math;oopd;os,23456:9.039359;34567:8.881109
student54,21212,csss,2021,math,23456:7.369075
student55,20180,csai,2022,ga;math,23456:6.753612;45678:9.852241
student56,21897,csai,2023,dbms,56789:5.287739;12345:5.569450
student57,20707,csai,2021,ml;os,45678:5.692002;56789:8.466802
student58,22451,csd,2022,math,56789:8.363103;23456:9.668901
student59,22308,csam,2024,ml;os;math,34567:7.983487
student60,21779,csam,2022,ml;dbms,56789:9.571804;23456:9.450143
student61,20875,cse,2021,math;os;oopd,56789:6.046924;12345:8.599832
student62,22658,ece,2022,ml;oopd;dbms,23456:8.204916;12345:5.276809;45678:7.289995
student63,20079,ece,2020,ml;ga;math,34567:6.963675;12345:8.435760;45678:6.769631
student64,21376,csd,2021,dbms;math,45678:6.168205
student65,21034,csai,2021,math,34567:5.624112
student66,22473,csss,2024,ga;os;ml,34567:7.708690;12345:5.525119
student67,21821,csd,2024,ga;math;oopd,45678:8.334299;23456:7.365759
student68,22209,ece,2024,os;oopd,45678:6.463952;12345:6.989594
student69,20154,csam,2024,ml;os;dbms,34567:7.017672
student70,21352,ece,2021,os;oopd;dbms,45678:9.008471;34567:6.288305
student71,20600,ece,2021,oopd,23456:9.481092
student72,21537,csss,2021,oopd;math;ml,56789:8.164431
student73,21764,csss,2024,ml,23456:6.822830;12345:6.204672;56789:8.070079
student74,22316,csam,2021,math,34567:9.367052;12345:8.356034
student75,20557,csai,2021,oopd;ml;math,23456:5.413888;34567:6.875049
student76,22649,cse,2020,ga;oopd,12345:8.320128;34567:5.990384
student77,20312,ece,2022,dbms;ml;ga,56789:8.774224;34567:5.119439;12345:9.716124
student78,20000,csss,2021,ga;oopd;os,12345:7.381598
student79,22349,csss,2021,ml;math;ga,56789:6.498684;23456:8.815062;45678:9.498378
student80,22304,cse,2020,math;os;dbms,45678:8.381486;23456:7.421631
